ticker,epic,instrument_name,instrument_type,currency,lot_size,min_deal_size,margin_factor,bid,offer,spread,market_status,error
AAPL,UA.D.AAPL.CASH.IP,Apple Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
MSFT,UC.D.MSFT.CASH.IP,Microsoft Corp (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
GOOGL,UB.D.GOOGL.CASH.IP,Alphabet Inc - A (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
AMZN,UA.D.AMZN.CASH.IP,Amazon.com Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
META,UB.D.FB.CASH.IP,Meta Platforms Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
NVDA,UC.D.NVDA.CASH.IP,NVIDIA Corp (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
TSLA,UD.D.TSLA.CASH.IP,Tesla Motors Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
NFLX,UC.D.NFLX.CASH.IP,Netflix Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
AMD,SA.D.AMD.CASH.IP,Advanced Micro Devices Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
INTC,UB.D.INTC.CASH.IP,Intel Corp (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
ADBE,UA.D.ADBE.CASH.IP,Adobe Systems Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
COIN,UA.D.COINUS.CASH.IP,Coinbase Global Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
SBUX,UD.D.SBUX.CASH.IP,Starbucks Corp (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
QCOM,UC.D.QCOM.CASH.IP,QUALCOMM Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
AVGO,UA.D.AVGO.CASH.IP,Broadcom Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
MU,UC.D.MU.CASH.IP,Micron Technology Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
AMAT,UA.D.AMAT.CASH.IP,Applied Materials Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
PLTR,SE.D.PLTRUS.CASH.IP,Palantir Technologies Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
CRWD,UA.D.CRWDUS.CASH.IP,CrowdStrike Holdings Inc (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
ARM,UA.D.ARMUS.CASH.IP,ARM Holdings PLC ADR (24 Hours),SHARES,N/A,0.01,1.0,20.0000,N/A,N/A,N/A,TRADEABLE,
