ticker,epic,instrument_name,instrument_type,currency,market_status,search_term
AAPL,UA.D.AAPL.CASH.IP,Apple Inc (24 Hours),SHARES,N/A,TRADEABLE,AA
AAONUS,UA.D.AAONUS.CASH.IP,AAON Inc,SHARES,N/A,TRADEABLE,AA
APCGY,ED.D.APCGY.CASH.IP,Apple Inc (DE),SHARES,N/A,EDITS_ONLY,AA
ARL0GY,ED.D.ARL0GY.CASH.IP,Aareal Bank AG,SHARES,N/A,CLOSED,AA
ARLGY,ED.D.ARLGY.CASH.IP,Aareal Bank AG,SHARES,N/A,CLOSED,AA
AACSS,EH.D.AACSS.CASH.IP,AAC Clyde Space AB,SHARES,N/A,EDITS_ONLY,AA
AAKSS,EH.D.AAKSS.CASH.IP,AarhusKarlshamn AB,SHARES,N/A,EDITS_ONLY,AA
AAQGY,ED.D.AAQGY.CASH.IP,aap Implantate AG,SHARES,N/A,EDITS_ONLY,AA
AALBNA,EG.D.AALBNA.CASH.IP,Aalberts Industries NV,SHARES,N/A,EDITS_ONLY,AA
AARDUS,UA.D.AARDUS.CASH.IP,Aardvark Therapeutics Inc,SHARES,N/A,TRADEABLE,AA
AAAGLN,KA.D.AAAGLN.CASH.IP,Fair Oaks AAA CLO Fund // ETF,SHARES,N/A,EDITS_ONLY,AA
FAAALN,KA.D.FAAALN.CASH.IP,Fair Oaks AAA CLO Fund // ETF (EUR),SHARES,N/A,EDITS_ONLY,AA
XAAALN,KA.D.XAAALN.CASH.IP,Fair Oaks AAA CLO Fund // ETF (XAAA LN),SHARES,N/A,EDITS_ONLY,AA
ICLOLN,KA.D.ICLOLN.CASH.IP,Invesco USD AAA CLO UCITS ETF,SHARES,N/A,EDITS_ONLY,AA
JAAAUS,SI.D.JAAAUS.CASH.IP,Janus Henderson AAA CLO ETF,SHARES,N/A,TRADEABLE,AA
PAALBDC,EP.D.PAALBDC.CASH.IP,Per Aarsleff Holding AS,SHARES,N/A,EDITS_ONLY,AA
SAAALN,KA.D.SAAALN.CASH.IP,iShares Global AAA-AA Government Bond UCITS ETF,SHARES,N/A,EDITS_ONLY,AA
AAPILN,KA.D.AAPILN.CASH.IP,IncomeShares Apple AAPL Options ETP,SHARES,N/A,EDITS_ONLY,AA
JCLGLN,KA.D.JCLGLN.CASH.IP,Janus Henderson Tabula EUR AAA CLO UCITS ETF,SHARES,N/A,EDITS_ONLY,AA
APLYUS,SI.D.APLYUS.CASH.IP,YieldMax AAPL Option Income Strategy ETF,SHARES,N/A,TRADEABLE,AA
