ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
AA,SA.D.AA.CASH.IP,Alcoa Inc (24 Hours),N/A,TRADEABLE,-,SHARES,AA
AAPL,UA.D.AAPL.CASH.IP,Apple Inc (24 Hours),N/A,TRADEABLE,-,SHARES,AA
AAONUS,UA.D.AAONUS.CASH.IP,AAON Inc,N/A,TRADEABLE,-,SHARES,AA
AIRUS,SA.D.AIRUS.CASH.IP,AAR Corp,N/A,TRADEABLE,-,SHARES,AA
RNT,SG.D.RNT.CASH.IP,Aaron's Inc,N/A,CLOSED,-,SHARES,AA
APCGY,ED.D.APCGY.CASH.IP,Apple Inc (DE),N/A,TRADEABLE,-,SHARES,AA
ARLGY,ED.D.ARLGY.CASH.IP,Aareal Bank AG,N/A,CLOSED,-,SHARES,AA
ARL0GY,ED.D.ARL0GY.CASH.IP,Aareal Bank AG,N/A,CLOSED,-,SHARES,AA
AACSS,EH.D.AACSS.CASH.IP,AAC Clyde Space AB,N/A,TRADEABLE,-,SHARES,AA
AAKSS,EH.D.AAKSS.CASH.IP,AarhusKarlshamn AB,N/A,TRADEABLE,-,SHARES,AA
AAQGY,ED.D.AAQGY.CASH.IP,aap Implantate AG,N/A,TRADEABLE,-,SHARES,AA
AALBNA,EG.D.AALBNA.CASH.IP,Aalberts Industries NV,N/A,TRADEABLE,-,SHARES,AA
AARDUS,UA.D.AARDUS.CASH.IP,Aardvark Therapeutics Inc,N/A,TRADEABLE,-,SHARES,AA
AAAGLN,KA.D.AAAGLN.CASH.IP,Fair Oaks AAA CLO Fund // ETF,N/A,TRADEABLE,-,SHARES,AA
LAAAGR,ED.D.LAAAGR.CASH.IP,Fair Oaks AAA CLO Fund // ETF (EUR DIST),N/A,TRADEABLE,-,SHARES,AA
FAAALN,KA.D.FAAALN.CASH.IP,Fair Oaks AAA CLO Fund // ETF (EUR),N/A,TRADEABLE,-,SHARES,AA
XAAALN,KA.D.XAAALN.CASH.IP,Fair Oaks AAA CLO Fund // ETF (XAAA LN),N/A,TRADEABLE,-,SHARES,AA
ICLOLN,KA.D.ICLOLN.CASH.IP,Invesco USD AAA CLO UCITS ETF,N/A,TRADEABLE,-,SHARES,AA
JAAAUS,SI.D.JAAAUS.CASH.IP,Janus Henderson AAA CLO ETF,N/A,TRADEABLE,-,SHARES,AA
PAALBDC,EP.D.PAALBDC.CASH.IP,Per Aarsleff Holding AS,N/A,TRADEABLE,-,SHARES,AA
SAAALN,KA.D.SAAALN.CASH.IP,iShares Global AAA-AA Government Bond UCITS ETF,N/A,TRADEABLE,-,SHARES,AA
2018HK,AC.D.2018HK.CASH.IP,AAC Technologies Holdings Inc,N/A,EDITS_ONLY,-,SHARES,AA
AAPILN,KA.D.AAPILN.CASH.IP,IncomeShares Apple AAPL Options ETP,N/A,TRADEABLE,-,SHARES,AA
JCLGLN,KA.D.JCLGLN.CASH.IP,Janus Henderson Tabula EUR AAA CLO UCITS ETF,N/A,TRADEABLE,-,SHARES,AA
JCL0GY,ED.D.JCL0GY.CASH.IP,Janus Henderson Tabula EUR AAA CLO UCITS ETF (EUR),N/A,TRADEABLE,-,SHARES,AA
APLYUS,SI.D.APLYUS.CASH.IP,YieldMax AAPL Option Income Strategy ETF,N/A,TRADEABLE,-,SHARES,AA
QLTAUS,SI.D.QLTAUS.CASH.IP,iShares Aaa - A Rated Corporate Bond ETF,N/A,TRADEABLE,-,SHARES,AA
EEMDUS,SI.D.EEMDUS.CASH.IP,AAM S&P Emerging Markets High Dividend Value ETF,N/A,OFFLINE,-,SHARES,AA
3SAALN,KA.D.3SAALN.CASH.IP,Leverage Shares -3x Short Apple AAPL ETP Securities,N/A,TRADEABLE,-,SHARES,AA
ABFP,EC.D.ABFP.CASH.IP,AB Science SA,N/A,TRADEABLE,-,SHARES,AB
ABUS,SA.D.ABUS.CASH.IP,AllianceBernstein Holding LP,N/A,TRADEABLE,-,SHARES,AB
SCAB,EH.D.SCAB.CASH.IP,Svenska Cellulosa AB,N/A,TRADEABLE,-,SHARES,AB
ABNBUS,UA.D.ABNBUS.CASH.IP,Airbnb Inc (24 Hours),N/A,TRADEABLE,-,SHARES,AB
JMSS,EH.D.JMSS.CASH.IP,JM AB,N/A,TRADEABLE,-,SHARES,AB
SKFB,EH.D.SKFB.CASH.IP,AB SKF (publ),N/A,TRADEABLE,-,SHARES,AB
SKFASS,EH.D.SKFASS.CASH.IP,AB SKF (publ),N/A,TRADEABLE,-,SHARES,AB
ABBN,EJ.D.ABBN.CASH.IP,ABB Ltd (CH),N/A,TRADEABLE,-,SHARES,AB
ABB,EH.D.ABB.CASH.IP,ABB Ltd (SE),N/A,TRADEABLE,-,SHARES,AB
AFBSS,EH.D.AFBSS.CASH.IP,AFRY AB,N/A,TRADEABLE,-,SHARES,AB
ARJOBSS,EH.D.ARJOBSS.CASH.IP,Arjo AB (publ),N/A,TRADEABLE,-,SHARES,AB
CLNKBSS,EH.D.CLNKBSS.CASH.IP,BICO AB,N/A,TRADEABLE,-,SHARES,AB
CRADBSS,EH.D.CRADBSS.CASH.IP,C-Rad AB,N/A,TRADEABLE,-,SHARES,AB
CDONSS,EH.D.CDONSS.CASH.IP,CDON AB,N/A,TRADEABLE,-,SHARES,AB
CTEKSS,EH.D.CTEKSS.CASH.IP,CTEK AB (publ),N/A,TRADEABLE,-,SHARES,AB
DOROSS,EH.D.DOROSS.CASH.IP,Doro AB,N/A,OFFLINE,-,SHARES,AB
DOXASS,EH.D.DOXASS.CASH.IP,Doxa AB,N/A,TRADEABLE,-,SHARES,AB
