ticker,epic,instrument_name,currency,market_status,expiry,instrument_type,search_term
DRIGY,ED.D.DRIGY.CASH.IP,1&1 AG,N/A,TRADEABLE,-,SHARES,AG
TXGUS,UD.D.TXGUS.CASH.IP,10x Genomics Inc,N/A,TRADEABLE,-,SHARES,10
PREFTXSJ,AR.D.PREFTXSJ.CASH.IP,10X Yield Selected Bond Exchange Traded Fund,N/A,TRADEABLE,-,SHARES,YI
YIUS,UD.D.YIUS.CASH.IP,111 Inc,N/A,TRADEABLE,-,SHARES,YI
YQUS,UD.D.YQUS.CASH.IP,17 Education & Technology Group Inc,N/A,TRADEABLE,-,SHARES,YQ
EFSHUS,SI.D.EFSHUS.CASH.IP,1847 Holdings LLC,N/A,CLOSED,-,SHARES,LL
HAVXFUS,SI.D.HAVXFUS.CASH.IP,1911 Gold Corp,N/A,OFFLINE,-,SHARES,GO
ETFPLTSJ,AR.D.ETFPLTSJ.CASH.IP,1nvest Platinum ETF,N/A,TRADEABLE,-,SHARES,ET
ETFRHOSJ,AR.D.ETFRHOSJ.CASH.IP,1nvest Rhodium ETF,N/A,TRADEABLE,-,SHARES,ET
ETFSWXSJ,AR.D.ETFSWXSJ.CASH.IP,1nvest SWIX 40 ETF,N/A,TRADEABLE,-,SHARES,ET
ETFT40SJ,AR.D.ETFT40SJ.CASH.IP,1nvest TOP 40 ETF,N/A,OFFLINE,-,SHARES,ET
AIDXUS,UA.D.AIDXUS.CASH.IP,20/20 Biolabs Inc,N/A,TRADEABLE,-,SHARES,20
2020NO,EL.D.2020NO.CASH.IP,2020 Bulkers Limited,N/A,TRADEABLE,-,SHARES,BU
BNBANA,EG.D.BNBANA.CASH.IP,21Shares Binance BNB ETP,N/A,TRADEABLE,-,SHARES,BN
HODLXNA,EG.D.HODLXNA.CASH.IP,21Shares Crypto Basket 10 ETP,N/A,TRADEABLE,-,SHARES,10
THYPUS,UD.D.THYPUS.CASH.IP,21Shares Hyperliquid ETF,N/A,TRADEABLE,-,SHARES,HY
