ticker_in_epic,epic,instrument_name,currency,market_status,search_term
AALUS,UA.D.AALUS.CASH.IP,American Airlines Group Inc (24 Hours),N/A,TRADEABLE,Airlines
AAPL,UA.D.AAPL.CASH.IP,Apple Inc (24 Hours),N/A,TRADEABLE,A Inc
ABNBUS,UA.D.ABNBUS.CASH.IP,Airbnb Inc (24 Hours),N/A,TRADEABLE,A Inc
ACGL,UA.D.ACGL.CASH.IP,Arch Capital Group Ltd (24 Hours),N/A,TRADEABLE,C Group
ADBE,UA.D.ADBE.CASH.IP,Adobe Systems Inc (24 Hours),N/A,TRADEABLE,Systems
ADI,UA.D.ADI.CASH.IP,Analog Devices Inc (24 Hours),N/A,TRADEABLE,D Inc
AFRMUS,UA.D.AFRMUS.CASH.IP,Affirm Holdings Inc (24 Hours),N/A,TRADEABLE,H Inc
AGCUS,UA.D.AGCUS.CASH.IP,Grab Holdings (24 Hours),N/A,TRADEABLE,A Holdings
AKAM,UA.D.AKAM.CASH.IP,Akamai Technologies Inc (24 Hours),N/A,TRADEABLE,A Technologies
ALABUS,UA.D.ALABUS.CASH.IP,Astera Labs Inc (24 Hours),N/A,TRADEABLE,L Inc
AMGN,UA.D.AMGN.CASH.IP,Amgen Inc (24 Hours),N/A,TRADEABLE,A Inc
APLDUS,UA.D.APLDUS.CASH.IP,Applied Digital Corp (24 Hours),N/A,TRADEABLE,D Corp
APPSUS,UA.D.APPSUS.CASH.IP,Digital Turbine Inc (24 Hours),N/A,TRADEABLE,D Inc
ARMUS,UA.D.ARMUS.CASH.IP,ARM Holdings PLC ADR (24 Hours),N/A,TRADEABLE,A Holdings
ASSTUS,UA.D.ASSTUS.CASH.IP,Strive Inc (24 Hours),N/A,TRADEABLE,S Inc
AVGO,UA.D.AVGO.CASH.IP,Broadcom Inc (24 Hours),N/A,TRADEABLE,B Inc
BIDU,UA.D.BIDU.CASH.IP,Baidu Inc ADR (24 Hours),N/A,TRADEABLE,B Inc
BITFUS,UA.D.BITFUS.CASH.IP,Keel Infrastructure Corp (24 Hours),N/A,TRADEABLE,I Corp
BULLUS,UA.D.BULLUS.CASH.IP,Webull Corp (24 Hours),N/A,TRADEABLE,W Corp
BYNDUS,UA.D.BYNDUS.CASH.IP,Beyond Meat Inc (24 Hours),N/A,TRADEABLE,M Inc
CBRSUS,UA.D.CBRSUS.CASH.IP,Cerebras Systems Inc (24 Hours),N/A,TRADEABLE,Systems
CDN,UA.D.CDN.CASH.IP,Cadence Design Systems Inc (24 Hours),N/A,TRADEABLE,Systems
CDWUS,UA.D.CDWUS.CASH.IP,CDW Corp/DE (24 Hours),N/A,TRADEABLE,A Corp
CELHUS,UA.D.CELHUS.CASH.IP,Celsius Holdings Inc (24 Hours),N/A,TRADEABLE,C Holdings
CHKUS,UA.D.CHKUS.CASH.IP,Expand Energy Corporation (24 Hours),N/A,TRADEABLE,E Corp
CHRW,UA.D.CHRW.CASH.IP,CH Robinson Worldwide Inc (24 Hours),N/A,TRADEABLE,W Inc
CHTRUS,UA.D.CHTRUS.CASH.IP,Charter Communications Inc (24 Hours),N/A,TRADEABLE,Communications
CINF,UA.D.CINF.CASH.IP,Cincinnati Financial Corp (24 Hours),N/A,TRADEABLE,F Corp
CME,UA.D.CME.CASH.IP,CME Group Inc - US (24 Hours),N/A,TRADEABLE,U Inc
COST,UA.D.COST.CASH.IP,Costco Wholesale Corp (24 Hours),N/A,TRADEABLE,W Corp
