query,epic,instrument_name,instrument_type
Apple,UA.D.AAPL.CASH.IP,Apple Inc (24 Hours),SHARES
Apple,KA.D.0R2VLN.CASH.IP,Apple Inc,SHARES
Apple,ED.D.APCGY.CASH.IP,Apple Inc (DE),SHARES
Apple,KA.D.SAPLLN.CASH.IP,Leverage Shares -1x Apple ETP,SHARES
Apple,KA.D.APLSLN.CASH.IP,Leverage Shares -1x Apple ETP (USD),SHARES
Apple,KA.D.3AAPLN.CASH.IP,Leverage Shares 3x Apple ETP,SHARES
Apple,KA.D.3APELN.CASH.IP,Leverage Shares 3x Apple ETP (EUR),SHARES
Apple,KA.D.AAP3LN.CASH.IP,Leverage Shares 3x Apple ETP (USD),SHARES
Apple,KA.D.3LAPLN.CASH.IP,GraniteShares 3x Long Apple Daily ETP,SHARES
Apple,KA.D.3SAPLN.CASH.IP,GraniteShares 3x Short Apple Daily ETP,SHARES
Apple,KA.D.AAPILN.CASH.IP,IncomeShares Apple AAPL Options ETP,SHARES
Apple,KA.D.AAPELN.CASH.IP,Leverage Shares 2x Apple ETP - EUR,SHARES
Apple,KA.D.2AAPLN.CASH.IP,Leverage Shares 2x Apple ETP - GBp,SHARES
Apple,KA.D.AAP2LN.CASH.IP,Leverage Shares 2x Apple ETP - USD,SHARES
Apple,KA.D.3SAALN.CASH.IP,Leverage Shares -3x Short Apple AAPL ETP Securities,SHARES
Apple,DO.D.AAPL.85.IP,Daily Apple Inc 24000 CALL,OPT_SHARES
Apple,DO.D.AAPL.86.IP,Daily Apple Inc 24000 PUT,OPT_SHARES
Apple,DO.D.AAPL.83.IP,Daily Apple Inc 24500 CALL,OPT_SHARES
Apple,DO.D.AAPL.84.IP,Daily Apple Inc 24500 PUT,OPT_SHARES
Apple,DO.D.AAPL.81.IP,Daily Apple Inc 25000 CALL,OPT_SHARES
Apple,DO.D.AAPL.82.IP,Daily Apple Inc 25000 PUT,OPT_SHARES
Apple,DO.D.AAPL.79.IP,Daily Apple Inc 25500 CALL,OPT_SHARES
Apple,DO.D.AAPL.80.IP,Daily Apple Inc 25500 PUT,OPT_SHARES
Apple,DO.D.AAPL.77.IP,Daily Apple Inc 26000 CALL,OPT_SHARES
Apple,DO.D.AAPL.78.IP,Daily Apple Inc 26000 PUT,OPT_SHARES
Apple,DO.D.AAPL.75.IP,Daily Apple Inc 26500 CALL,OPT_SHARES
Apple,DO.D.AAPL.76.IP,Daily Apple Inc 26500 PUT,OPT_SHARES
Apple,DO.D.AAPL.73.IP,Daily Apple Inc 27000 CALL,OPT_SHARES
Apple,DO.D.AAPL.74.IP,Daily Apple Inc 27000 PUT,OPT_SHARES
Apple,DO.D.AAPL.71.IP,Daily Apple Inc 27500 CALL,OPT_SHARES
Apple,DO.D.AAPL.72.IP,Daily Apple Inc 27500 PUT,OPT_SHARES
Apple,DO.D.AAPL.69.IP,Daily Apple Inc 27750 CALL,OPT_SHARES
Apple,DO.D.AAPL.70.IP,Daily Apple Inc 27750 PUT,OPT_SHARES
Apple,DO.D.AAPL.67.IP,Daily Apple Inc 28000 CALL,OPT_SHARES
Apple,DO.D.AAPL.68.IP,Daily Apple Inc 28000 PUT,OPT_SHARES
Apple,DO.D.AAPL.65.IP,Daily Apple Inc 28250 CALL,OPT_SHARES
Apple,DO.D.AAPL.66.IP,Daily Apple Inc 28250 PUT,OPT_SHARES
Apple,DO.D.AAPL.63.IP,Daily Apple Inc 28500 CALL,OPT_SHARES
Apple,DO.D.AAPL.64.IP,Daily Apple Inc 28500 PUT,OPT_SHARES
Apple,DO.D.AAPL.61.IP,Daily Apple Inc 28750 CALL,OPT_SHARES
Apple,DO.D.AAPL.62.IP,Daily Apple Inc 28750 PUT,OPT_SHARES
Apple,DO.D.AAPL.59.IP,Daily Apple Inc 29000 CALL,OPT_SHARES
Apple,DO.D.AAPL.60.IP,Daily Apple Inc 29000 PUT,OPT_SHARES
Apple,DO.D.AAPL.57.IP,Daily Apple Inc 29100 CALL,OPT_SHARES
Apple,DO.D.AAPL.58.IP,Daily Apple Inc 29100 PUT,OPT_SHARES
Apple,DO.D.AAPL.55.IP,Daily Apple Inc 29200 CALL,OPT_SHARES
Apple,DO.D.AAPL.56.IP,Daily Apple Inc 29200 PUT,OPT_SHARES
Apple,DO.D.AAPL.53.IP,Daily Apple Inc 29300 CALL,OPT_SHARES
Apple,DO.D.AAPL.54.IP,Daily Apple Inc 29300 PUT,OPT_SHARES
Apple,DO.D.AAPL.51.IP,Daily Apple Inc 29400 CALL,OPT_SHARES
