query,epic,instrument_name,instrument_type
BA,KA.D.BA.CASH.IP,BAE Systems PLC,SHARES
BA,KA.D.LLOY.CASH.IP,Lloyds Banking Group PLC,SHARES
BA,CO.D.DX.FWS2.IP,US Dollar Basket ($10),COMMODITIES
BA,CO.D.DX.FWM2.IP,US Dollar Basket ($5),COMMODITIES
BA,KA.D.BAY.CASH.IP,International Consolidated Airlines Group SA (LSE),SHARES
BA,ED.D.BAS.CASH.IP,BASF SE,SHARES
BA,ED.D.BWBGY.CASH.IP,Baader Bank AG,SHARES
BA,KA.D.BARC.CASH.IP,Barclays PLC,SHARES
BA,EF.D.BPEIM.CASH.IP,Banca Popolare dell'Emilia Romagna SCRL,SHARES
BA,KA.D.BAG.CASH.IP,BARR (A.G.) PLC,SHARES
BA,UD.D.VIHUS.CASH.IP,Bakkt Inc,SHARES
BA,EC.D.BALYOFP.CASH.IP,Balyo SA,SHARES
BA,EF.D.BMPS.CASH.IP,Banca Monte dei Paschi di Siena SpA,SHARES
BA,KC.D.BGO.CASH.IP,Bango PLC,SHARES
BA,UC.D.OZRKUS.CASH.IP,Bank OZK,SHARES
BA,UA.D.BZUNUS.CASH.IP,Baozun Inc,SHARES
BA,EA.D.BARBB.CASH.IP,Barco NV,SHARES
BA,ED.D.BSLGY.CASH.IP,Basler AG,SHARES
BA,ED.D.B5AGY.CASH.IP,Bauer AG,SHARES
BA,ED.D.BAY.CASH.IP,Bayer AG,SHARES
BA,EF.D.1BAYNIM.CASH.IP,Bayer AG (ITA),SHARES
BA,ED.D.BMW.CASH.IP,Bayerische Motoren Werke AG,SHARES
BA,UB.D.FRBAUS.CASH.IP,First Bank,SHARES
BA,EP.D.JYSK.CASH.IP,Jyske Bank AS,SHARES
BA,EH.D.LEASS.CASH.IP,Lea Bank AB,SHARES
BA,EP.D.MNBADC.CASH.IP,Mons Bank,SHARES
BA,EP.D.SPKSJFDC.CASH.IP,SJF Bank A/S,SHARES
BA,UD.D.TOWNUS.CASH.IP,Towne Bank,SHARES
BA,UA.D.BMRCUS.CASH.IP,Bank of Marin Ban Corporation,SHARES
BA,ED.D.ARLGY.CASH.IP,Aareal Bank AG,SHARES
BA,ED.D.ARL0GY.CASH.IP,Aareal Bank AG,SHARES
BA,EH.D.ARIONSDBS.CASH.IP,Arion Bank hf.,SHARES
BA,EH.D.TFBANKSS.CASH.IP,Avarda Bank AB (publ),SHARES
BA,PK.D.AXBLI.CASH.IP,Axis Bank Ltd,SHARES
BA,ED.D.BYWGY.CASH.IP,BYW - BayWa AG,SHARES
BA,ED.D.BYW6GY.CASH.IP,BYW6 - BayWa AG,SHARES
BA,UA.D.BLZEUS.CASH.IP,Backblaze Inc,SHARES
BA,UA.D.BIDU.CASH.IP,Baidu Inc ADR (24 Hours),SHARES
BA,EC.D.ALBKKFP.CASH.IP,Baikowski SAS,SHARES
BA,UA.D.BCPCUS.CASH.IP,Balchem Corp,SHARES
BA,EH.D.BALCOSS.CASH.IP,Balco Group AB,SHARES
BA,EH.D.BUSERSS.CASH.IP,Bambuser AB,SHARES
BA,EF.D.IFIM.CASH.IP,Banca IFIS SpA,SHARES
BA,EF.D.BAMIIM.CASH.IP,Banco BPM SpA,SHARES
BA,UD.D.TBBKUS.CASH.IP,Bancorp Inc,SHARES
BA,UA.D.BANDUS.CASH.IP,Bandwidth Inc,SHARES
BA,EP.D.BOBDC.CASH.IP,Bang & Olufsen AS - B,SHARES
