query,epic,instrument_name,instrument_type
DIS,EF.D.DISIM.CASH.IP,d'Amico International Shipping SA,SHARES
DIS,IX.D.AILOSERS.IFD.IP,AI Disruption Risk Index ($1),INDICES
DIS,EH.D.DISTSS.CASH.IP,DistIT AB (publ),SHARES
DIS,KC.D.BES.CASH.IP,Distil Plc,SHARES
DIS,UB.D.DISCA.CASH.IP,Discovery Inc - A,SHARES
DIS,AR.D.DSYSJ.CASH.IP,Discovery Ltd,SHARES
DIS,UD.D.TWINUS.CASH.IP,Twin Disc Inc,SHARES
DIS,UB.D.DISH.CASH.IP,DISH Network Corp,SHARES
DIS,UB.D.FSDCUS.CASH.IP,"Disc Medicine, Inc",SHARES
DIS,UB.D.DISCK.CASH.IP,Discovery Inc - C,SHARES
DIS,KC.D.C4XDLN.CASH.IP,C4X Discovery Holdings PLC,SHARES
DIS,KC.D.CDLLN.CASH.IP,Cloudbreak Discovery PLC,SHARES
DIS,AR.D.DCPSJ.CASH.IP,Dis-Chem Pharmacies Limited,SHARES
DIS,KA.D.ACL.CASH.IP,DiscoverIE Group PLC,SHARES
DIS,EH.D.DMXSESDBS.CASH.IP,District Metals Corp,SHARES
DIS,KA.D.JFF.CASH.IP,JPMorgan European Discovery,SHARES
DIS,KA.D.DIS3LN.CASH.IP,Leverage Shares 3x Disney ETP,SHARES
DIS,KA.D.MIBXLN.CASH.IP,Lyxor FTSE MIB UCITS ETF Dist,SHARES
DIS,KA.D.USAULN.CASH.IP,Lyxor MSCI USA UCITS ETF Dist,SHARES
DIS,KA.D.USALLN.CASH.IP,Lyxor MSCI USA UCITS ETF Dist,SHARES
DIS,UC.D.PANL.CASH.IP,Universal Display Corp,SHARES
DIS,UD.D.WBDUS.CASH.IP,Warner Bros. Discovery Inc (24 Hours),SHARES
DIS,KA.D.TP05LN.CASH.IP,iShares $ Tips 0-5 UCITS ETF - DIST,SHARES
DIS,KA.D.DTECLN.CASH.IP,Amundi MSCI Disruptive Technology UCITS ETF,SHARES
DIS,SI.D.IWMYUS.CASH.IP,Defiance R2000 Weekly Distribution ETF,SHARES
DIS,SI.D.JEPYUS.CASH.IP,Defiance S&P 500 Weekly Distribution ETF,SHARES
DIS,AR.D.DGHSJ.CASH.IP,Distell Group Holdings Limited,SHARES
DIS,KC.D.DFCHLN.CASH.IP,Distribution Finance Capital Limited,SHARES
DIS,UB.D.LAWSUS.CASH.IP,Distribution solutions Group I,SHARES
DIS,KA.D.DMAGLN.CASH.IP,Global X Disruptive Materials UCITS ETF - GBP,SHARES
DIS,KA.D.FWSDLN.CASH.IP,Invesco FTSE All-World UCITS ETF GBP PFHDG DIST,SHARES
DIS,KA.D.GLTPLN.CASH.IP,Invesco UK Gilts UCITS ETF - Dist,SHARES
DIS,KA.D.TRXGLN.CASH.IP,Invesco US Treasury 7-10 Year UCITS ETF - Dist - GBP,SHARES
DIS,KA.D.TREXLN.CASH.IP,Invesco US Treasury 7-10 Year UCITS ETF - Dist - USD,SHARES
DIS,KA.D.3DIELN.CASH.IP,Leverage Shares 3x Disney ETP - EUR,SHARES
DIS,KA.D.3DISLN.CASH.IP,Leverage Shares 3x Disney ETP - GBp,SHARES
DIS,UB.D.LSDIUS.CASH.IP,Lucy Scientific Discovery Inc,SHARES
DIS,KA.D.MEUGLN.CASH.IP,Lyxor MSCI Europe UCITS ETF Dist,SHARES
DIS,KA.D.NRJLLN.CASH.IP,Lyxor New Energy DR UCITS ETF Class Dist,SHARES
DIS,UB.D.FEMAUS.CASH.IP,Procure Disaster Recovery ETF,SHARES
DIS,EH.D.SDSSS.CASH.IP,Seamless Distribution Systems AB,SHARES
DIS,KA.D.VEVELN.CASH.IP,Vanguard FTSE Developed World UCITS ETF - Dist,SHARES
DIS,SI.D.DISOUS.CASH.IP,YieldMax DIS Option Income Strategy ETF,SHARES
DIS,KA.D.IDUSLN.CASH.IP,iShares Core S&P 500 UCITS ETF USD Dist,SHARES
DIS,KA.D.IMIBLN.CASH.IP,iShares FTSE MIB UCITS ETF DIST,SHARES
DIS,KA.D.IMEULN.CASH.IP,iShares MSCI Europe UCITS ETF DIST,SHARES
DIS,KA.D.ISJPLN.CASH.IP,iShares MSCI Japan SmallCap UCITS ETF DIST,SHARES
DIS,SI.D.WANTUS.CASH.IP,Direxion Daily Consumer Discretionary Bull 3X ETF,SHARES
DIS,KA.D.TRXSLN.CASH.IP,Invesco US Treasury 7-10 Year UCITS ETF - Dist - GBP Hedged,SHARES
DIS,KA.D.ECGDLN.CASH.IP,L&G Multi-Strategy Enhanced Commodities UCITS ETF Dis,SHARES
