query,epic,instrument_name,instrument_type
MU,UC.D.MU.CASH.IP,Micron Technology Inc (24 Hours),SHARES
MU,ED.D.MTEGY.CASH.IP,Micron Technology Inc (DE),SHARES
MU,ED.D.MUXGY.CASH.IP,mutares SA,SHARES
MU,ED.D.M4NGY.CASH.IP,Muehlhan AG,SHARES
MU,ED.D.FRUGY.CASH.IP,Multitude PLC,SHARES
MU,KA.D.MUL.CASH.IP,Mulberry Group PLC,SHARES
MU,EH.D.MTRSSS.CASH.IP,Munters Group AB (publ),SHARES
MU,UC.D.MURAUS.CASH.IP,Mural Oncology PLC,SHARES
MU,UC.D.MBIOUS.CASH.IP,Mustang Bio Inc,SHARES
MU,EB.D.MUSTIFH.CASH.IP,Musti Group Oyj,SHARES
MU,KA.D.OMULN.CASH.IP,Old Mutual Limited,SHARES
MU,AR.D.OMUSJ.CASH.IP,Old Mutual Limited,SHARES
MU,KC.D.MMAGLN.CASH.IP,musicMagpie PLC,SHARES
MU,ED.D.MUV2.CASH.IP,Muenchener Rueckversicherungs AG,SHARES
MU,EB.D.AM1FH.CASH.IP,Ahlstrom-Munksjo Oyj,SHARES
MU,ED.D.MUBGY.CASH.IP,Muhlbauer Holding AG,SHARES
MU,ED.D.MLLGY.CASH.IP,Muller - Die lila Logistik AG,SHARES
MU,AR.D.MCGSJ.CASH.IP,MultiChoice Group Ltd,SHARES
MU,EH.D.MULQSS.CASH.IP,MultiQ International AB (publ),SHARES
MU,UC.D.MSAIUS.CASH.IP,MultiSensor AI Holdings Inc,SHARES
MU,AR.D.MURSJ.CASH.IP,Murray & Roberts Holdings Ltd,SHARES
MU,KA.D.MUT.CASH.IP,Murray Income Trust PLC,SHARES
MU,UC.D.NCSMUS.CASH.IP,NCS Multistage Holdings Inc,SHARES
MU,EG.D.UMGNA.CASH.IP,Universal Music Group NV,SHARES
MU,SI.D.NYFUS.CASH.IP,iShares New York Muni Bond ETF,SHARES
MU,ED.D.ISTMGY.CASH.IP,BNP Paribas Easy - iSTOXX MUTB Japan Quality 150,SHARES
MU,SI.D.TFPNUS.CASH.IP,Blueprint Chesapeake Multi-Asset Trend ETF,SHARES
MU,KA.D.HWWALN.CASH.IP,HSBC Multi Factor Worldwide Equity UCITS ETF,SHARES
MU,KA.D.MLTILN.CASH.IP,IncomeShares 60-30-10 Multi-Asset Balanced ETP,SHARES
MU,KA.D.MLTYLN.CASH.IP,IncomeShares 60-30-10 Multi-Asset Balanced ETP (USD),SHARES
MU,KA.D.GRWILN.CASH.IP,IncomeShares 75/10/15 Multi-Asset Growth ETP,SHARES
MU,KA.D.MUIYLN.CASH.IP,IncomeShares Micron MU Options ETP,SHARES
MU,SI.D.PZAUS.CASH.IP,Invesco National AMT-Free Municipal Bond ETF,SHARES
MU,KA.D.JPLGLN.CASH.IP,JPMorgan Global Equity Multi-Factor UCITS ETF,SHARES
MU,KA.D.JPGLLN.CASH.IP,JPMorgan Global Equity Multi-Factor UCITS ETF (USD),SHARES
MU,KA.D.MATELN.CASH.IP,JPMorgan Multi-Asset Trust PLC,SHARES
MU,SI.D.JMSTUS.CASH.IP,JPMorgan Ultra-Short Municipal Income ETF,SHARES
MU,ED.D.MPCGY.CASH.IP,MPC Muenchmeyer Petersen Capital AG,SHARES
MU,KA.D.MYI.CASH.IP,MYI - Murray International Trust PLC,SHARES
MU,SI.D.HYDUS.CASH.IP,Market Vectors High Yield Municipal Index ETF,SHARES
MU,KC.D.MIGTLN.CASH.IP,Momentum Multi-Asset Value Trust PLC,SHARES
MU,UC.D.MUDSUUS.CASH.IP,Mudrick Capital Acquisition Corp. II (unit),SHARES
MU,UC.D.MUDSUS.CASH.IP,Mudrick Capital Acquisition Corporation II,SHARES
MU,SI.D.PYLDUS.CASH.IP,PIMCO Multisector Bond Active ETF,SHARES
MU,KC.D.RHMLN.CASH.IP,Round Hill Music Royalty Fund Limited,SHARES
MU,KA.D.RHMPLN.CASH.IP,Round Hill Music Royalty Fund Limited - GBP,SHARES
MU,SI.D.RLYUS.CASH.IP,SPDR SSgA Multi-Asset Real Return ETF,SHARES
MU,SI.D.QISUS.CASH.IP,Simplify Multi-Qis Alternative ETF,SHARES
MU,UD.D.WMGUS.CASH.IP,Warner Music Group Corporation,SHARES
MU,SI.D.VFLUS.CASH.IP,abrdn National Municipal Income Fund,SHARES
