query,epic,instrument_name,instrument_type
PLTR,SE.D.PLTRUS.CASH.IP,Palantir Technologies Inc (24 Hours),SHARES
PLTR,ON.D.PLTRUSse11500R6.CASH.IP,Palantir Technologies Inc 11500 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12000R6.CASH.IP,Palantir Technologies Inc 12000 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12100R6.CASH.IP,Palantir Technologies Inc 12100 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12200R6.CASH.IP,Palantir Technologies Inc 12200 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12300R6.CASH.IP,Palantir Technologies Inc 12300 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12400R6.CASH.IP,Palantir Technologies Inc 12400 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12500F6.CASH.IP,Palantir Technologies Inc 12500 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse12500R6.CASH.IP,Palantir Technologies Inc 12500 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12600R6.CASH.IP,Palantir Technologies Inc 12600 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12700F6.CASH.IP,Palantir Technologies Inc 12700 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse12700R6.CASH.IP,Palantir Technologies Inc 12700 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12800F6.CASH.IP,Palantir Technologies Inc 12800 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse12800R6.CASH.IP,Palantir Technologies Inc 12800 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse12900F6.CASH.IP,Palantir Technologies Inc 12900 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse13000F6.CASH.IP,Palantir Technologies Inc 13000 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse13100F6.CASH.IP,Palantir Technologies Inc 13100 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse13100R6.CASH.IP,Palantir Technologies Inc 13100 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse13200F6.CASH.IP,Palantir Technologies Inc 13200 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse13200R6.CASH.IP,Palantir Technologies Inc 13200 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse13300F6.CASH.IP,Palantir Technologies Inc 13300 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse13300R6.CASH.IP,Palantir Technologies Inc 13300 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse13400R6.CASH.IP,Palantir Technologies Inc 13400 PUT,OPT_SHARES
PLTR,ON.D.PLTRUSse13500F6.CASH.IP,Palantir Technologies Inc 13500 CALL,OPT_SHARES
PLTR,ON.D.PLTRUSse13500R6.CASH.IP,Palantir Technologies Inc 13500 PUT,OPT_SHARES
